seed,N,D,num_clusters,lengthscale_mult,lengthscale,kernel_var,noise_var,method,proj,ctr,feature_dist,rmse,test_kl,test_mnll,test_mean_mse,test_var_mse
5.0,10000.0,100.0,8.0,8.0,0.24478426575660706,0.5047977566719055,0.20189650356769562,rff,gaussian,0.0,None,0.49057257175445557,1296.342041015625,0.7142066955566406,0.03734821453690529,0.00020422408124431968
5.0,10000.0,100.0,8.0,8.0,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,rademacher,0.0,"[3, 4, 6, 9, 15, 24, 38]",0.576583743095398,4657.98388671875,0.9409011006355286,0.13291554152965546,0.0001688741031102836
5.0,10000.0,100.0,8.0,8.0,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,rademacher,1.0,"[2, 3, 4, 5, 8, 11, 16]",0.6074851155281067,6058.85595703125,1.0314923524856567,0.172151580452919,0.00018445677415002137
5.0,10000.0,100.0,8.0,8.0,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,srht,0.0,"[2, 3, 5, 9, 15, 25, 40]",0.5772615075111389,4681.92138671875,0.9429137706756592,0.13365806639194489,0.0001677621330600232
5.0,10000.0,100.0,8.0,8.0,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,srht,1.0,"[2, 3, 4, 5, 8, 11, 16]",0.609704315662384,6153.439453125,1.0373586416244507,0.1752805858850479,0.00017483619740232825
6.0,10000.0,100.0,1771.0,0.125,0.24961401522159576,0.6169363856315613,0.20189650356769562,rff,gaussian,0.0,None,0.4921681582927704,1355.99462890625,0.718254029750824,0.03878739848732948,0.0002364676765864715
6.0,10000.0,100.0,1771.0,0.125,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,rademacher,0.0,"[3, 3, 5, 9, 15, 24, 40]",0.4833061397075653,1130.9632568359375,0.6967109441757202,0.03231707215309143,5.502355270436965e-05
6.0,10000.0,100.0,1771.0,0.125,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,rademacher,1.0,"[2, 3, 4, 5, 8, 11, 16]",0.48539450764656067,1028.0076904296875,0.7021275758743286,0.029480069875717163,7.449855911545455e-05
6.0,10000.0,100.0,1771.0,0.125,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,srht,0.0,"[2, 3, 5, 9, 15, 24, 41]",0.4710710942745209,727.1546020507812,0.6681590676307678,0.020783431828022003,8.117701327137183e-06
6.0,10000.0,100.0,1771.0,0.125,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,srht,1.0,"[2, 3, 3, 5, 8, 11, 17]",0.47735071182250977,879.2628173828125,0.6827607154846191,0.025277508422732353,4.105272819288075e-05
6.0,10000.0,100.0,919.0,0.25,0.24961401522159576,0.6169363856315613,0.20189650356769562,rff,gaussian,0.0,None,0.4967028796672821,1525.9564208984375,0.7288507223129272,0.04419766366481781,0.00023015437182039022
6.0,10000.0,100.0,919.0,0.25,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,rademacher,0.0,"[3, 3, 5, 9, 15, 24, 40]",0.4748477339744568,823.44775390625,0.6771120429039001,0.023574817925691605,4.31556036346592e-05
6.0,10000.0,100.0,919.0,0.25,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,rademacher,1.0,"[2, 3, 4, 5, 8, 11, 16]",0.48895150423049927,1205.830078125,0.7098898887634277,0.034693144261837006,9.632970613893121e-05
6.0,10000.0,100.0,919.0,0.25,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,srht,0.0,"[2, 3, 5, 9, 15, 24, 41]",0.48979198932647705,1220.890869140625,0.7120524048805237,0.03516150265932083,1.2148207133577671e-05
6.0,10000.0,100.0,919.0,0.25,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,srht,1.0,"[2, 3, 3, 5, 8, 11, 17]",0.474045991897583,876.1436157226562,0.6752707958221436,0.025103531777858734,7.651567102584522e-06
6.0,10000.0,100.0,457.0,0.5,0.24961401522159576,0.6169363856315613,0.20189650356769562,rff,gaussian,0.0,None,0.5072803497314453,1819.34423828125,0.7539696097373962,0.053628288209438324,0.0002244853094452992
6.0,10000.0,100.0,457.0,0.5,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,rademacher,0.0,"[3, 3, 5, 9, 15, 24, 40]",0.48125508427619934,977.8670654296875,0.6918065547943115,0.028171874582767487,2.015484460571315e-05
6.0,10000.0,100.0,457.0,0.5,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,rademacher,1.0,"[2, 3, 4, 5, 8, 11, 16]",0.48111894726753235,971.6116943359375,0.6914609670639038,0.02813800610601902,1.8600949260871857e-05
6.0,10000.0,100.0,457.0,0.5,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,srht,0.0,"[2, 3, 5, 9, 15, 24, 41]",0.475330114364624,797.6949462890625,0.6785348057746887,0.022734833881258965,5.236363904259633e-06
6.0,10000.0,100.0,457.0,0.5,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,srht,1.0,"[2, 3, 3, 5, 8, 11, 17]",0.4817895293235779,1023.263916015625,0.6930594444274902,0.029435308650135994,4.336949859862216e-05
6.0,10000.0,100.0,176.0,1.0,0.24961401522159576,0.6169363856315613,0.20189650356769562,rff,gaussian,0.0,None,0.49433499574661255,1496.79052734375,0.7235745787620544,0.042691074311733246,0.0002362255909247324
6.0,10000.0,100.0,176.0,1.0,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,rademacher,0.0,"[3, 3, 5, 9, 15, 24, 40]",0.4749065935611725,832.3575439453125,0.6774367094039917,0.02381778694689274,1.6750238501117565e-05
6.0,10000.0,100.0,176.0,1.0,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,rademacher,1.0,"[2, 3, 4, 5, 8, 11, 16]",0.47930607199668884,922.5079956054688,0.6876339316368103,0.02639267034828663,2.317556572961621e-05
6.0,10000.0,100.0,176.0,1.0,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,srht,0.0,"[2, 3, 5, 9, 15, 24, 41]",0.47647231817245483,880.7677001953125,0.6807886362075806,0.02529221773147583,4.044750767207006e-06
6.0,10000.0,100.0,176.0,1.0,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,srht,1.0,"[2, 3, 3, 5, 8, 11, 17]",0.48644188046455383,1316.4097900390625,0.7040135860443115,0.03777935355901718,4.473283843253739e-05
6.0,10000.0,100.0,56.0,2.0,0.24961401522159576,0.6169363856315613,0.20189650356769562,rff,gaussian,0.0,None,0.4882662296295166,1209.12841796875,0.7087079882621765,0.0350794717669487,0.00023872261226642877
6.0,10000.0,100.0,56.0,2.0,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,rademacher,0.0,"[3, 3, 5, 9, 15, 24, 40]",0.4815019965171814,953.797607421875,0.6927266120910645,0.02745124138891697,3.5093406040687114e-05
6.0,10000.0,100.0,56.0,2.0,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,rademacher,1.0,"[2, 3, 4, 5, 8, 11, 16]",0.48431533575057983,1095.762451171875,0.6978933811187744,0.03262040391564369,5.225228233030066e-05
6.0,10000.0,100.0,56.0,2.0,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,srht,0.0,"[2, 3, 5, 9, 15, 24, 41]",0.48575493693351746,1126.54296875,0.7020854353904724,0.032511040568351746,3.4433931432431564e-05
6.0,10000.0,100.0,56.0,2.0,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,srht,1.0,"[2, 3, 3, 5, 8, 11, 17]",0.48126035928726196,969.4893798828125,0.6908099055290222,0.02870434708893299,1.6368667274946347e-05
6.0,10000.0,100.0,20.0,4.0,0.24961401522159576,0.6169363856315613,0.20189650356769562,rff,gaussian,0.0,None,0.4916335642337799,1312.066162109375,0.7169354557991028,0.03757765516638756,0.0002325922396266833
6.0,10000.0,100.0,20.0,4.0,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,rademacher,0.0,"[3, 3, 5, 9, 15, 24, 40]",0.5269842147827148,2836.41943359375,0.8042503595352173,0.08144856989383698,0.00014244404155761003
6.0,10000.0,100.0,20.0,4.0,0.24961401522159576,0.6169363856315613,0.20189650356769562,maclaurin,rademacher,1.0,"[2, 3, 4, 5, 8, 11, 16]",0.5308876037597656,2741.31982421875,0.8144027590751648,0.07914131879806519,0.00013817868602927774
